LOCATION_NUMBER,ADDRESS_LINE_ONE,ADDRESS_LINE_TWO,ADDRESS_LINE_THREE,CITY,STATE,ZIP_CODE,COUNTRY
58,33 POWELL STREET,,,SAN FRANCISCO,CA,94102,USA
60,CRABTREE MALL,4325 GLENWOOD AVENUE,SUITE 2088,RALEIGH,NC,27612,USA
62,MANHATTAN VILLAGE,3200 SEPULVEDA BLVD.,,MANHATTAN BEACH,CA,90266,USA
64,13350 N. DALLAS PARKWAY,SUITE 1250,,DALLAS,TX,75240,USA
66,5015 WESTHEIMER,SUITE 2380,,HOUSTON,TX,77056,USA
68,NORTH PARK CENTER,8687 N. CENTRAL EXPY,SUITE #2232,DALLAS,TX,75225,USA
70,7400 SAN PEDRO AVE,SUITE 104,,SAN ANTONIO,TX,78216,USA
72,9722 GREAT HILLS TRAIL,SUITE 115,,AUSTIN,TX,78759,USA
74,303 MEMORIAL CITY WAY,SUITE 700,,HOUSTON,TX,77024,USA
76,7925 FM 1960 RD,"SPACE #1502, 1504, 1512, 1516",,HOUSTON,TX,77070,USA
78,CENTURY CITY,10250 SANTA MONICA BLVD,UNIT 1710,LOS ANGELES,CA,90067,USA
80,1101 MELBOURNE ROAD,,,HURST,TX,76053,USA
82,12506 N MAINSTREET,BLDG 3500,SUITE 3510,RANCHO CUCAMONGA,CA,91739,USA
84,THE WOODLANDS MALL STE 1066,1201 LAKE WOODLANDS DRIVE,,THE WOODLANDS,TX,77380,USA
86,STONEBRIAR CENTRE,SPACE 1230 AND 1234,2601 PRESTON ROAD,FRISCO,TX,75034,USA
88,FRESNO FASHION FAIR,639 EAST SHAW AVE.,"SUITE 123, SPACE S-9",FRESNO,CA,93710,USA
90,223 WEST ORTEGA STREET,,,SANTA BARBARA,CA,93101,USA
92,LA PLAZA MALL,2200 S. 10TH STREET,SPACE C04,MCALLEN,TX,78503,USA
94,7700 W. ARROWHEAD TOWNE CTR,SUITE 1199,,GLENDALE,AZ,85308,USA
96,1065 BREA MALL,SUITE 1023 & 1024,,BREA,CA,92821,USA
98,THE SHOPS AT LA CANTERA,"SUITE 1720, BLDG 7",15900 LA CANTERA PARKWAY,SAN ANTONIO,TX,78256,USA
100,1450 ALA MOANA BLVD,#2058,,HONOLULU,HI,96814,USA
102,THE MALL AT GREEN HILLS,2126 ABBOT MARTIN ROAD,SPACE #180,NASHVILLE,TN,37215,USA
104,2701 MING AVE,SPACE 187,,BAKERSFIELD,CA,93304,USA
106,NEWPORT CENTRE,30 MALL DRIVE WEST,SPACE #A58B,JERSEY CITY,NJ,7310,USA
108,ST LOUIS GALLERIA,2407 ST LOUIS GALLERIA,SPACE #2407,ST LOUIS,MO,63117,USA
110,161 LOS CERRITOS CENTER,,,CERRITOS,CA,90703,USA
112,60TH & LEXINGTON AVE,,,NEW YORK,NY,10022,USA
114,6671 LAS VEGAS BLVD,UNIT #DA-131,,LAS VEGAS,NV,89119,USA
116,5626 BAY STREET,,,EMERYVILLE,CA,94608,USA
118,150 BROADWAY,,,NEW YORK,NY,10038,USA
120,150 E86TH STREET,,,NEW YORK,NY,10028,USA
122,98-105 MOANALUA RD,SUITE 224,,AIEA,HI,96701,USA
124,225 SUMMIT BOULEVARD,SUITE 1100,,BIRMINGHAM,AL,35243,USA
126,160 CROCKER PARK BLVD,,,WESTLAKE,OH,44145,USA
128,26 SOUTHPARK CENTER,,,STRONGSVILLE,OH,44136,USA
130,1168 BAYBROOK MALL,,,FRIENDSWOOD,TX,77546,USA
132,PINNACLE HILLS PROMENADE,2203 S. 45TH STREET,SUITE #1140,ROGERS,AR,72758,USA
134,OAK PARK MALL,11731 WEST 95TH STREET,SPACE 139,OVERLAND PARK,KS,66214,USA
136,2002 ANNAPOLIS MALL,SPACE #1800,,ANNAPOLIS,MD,21401,USA
138,SEPHORA @ THE HOLYOKE MALL,"CO., LP",50 HOLYOKE STREET SPACE #C327,HOLYOKE,MA,1040,USA
140,2000 RIVERCHASE GALLERIA,SUITE 259,,HOOVER,AL,35244,USA
142,350 NORTH MILWAUKEE,SUITE 1031,,BOISE,ID,83704,USA
144,925 BLOSSOM HILL ROAD,SUITE #1198,,SAN JOSE,CA,95123,USA
146,LANCASTER,319 PARK CITY CENTER,,LANCASTER,PA,17601,USA
148,SANTA ANITA,400 S. BALDWIN AVE,SUITE #448-L,ARCADIA,CA,91007,USA
150,BARTON CREEK SQUARE,2901 CAPITOL OF TEXAS HWY SO.,SUITE M02A,AUSTIN,TX,78746,USA
152,TOWSON,825 DULANEY VALLEY ROAD,SPACE #2190,TOWSON,MD,21204,USA
154,MADISON,71 WEST TOWNE MALL,,MADISON,WI,53719,USA
156,SOUTHCENTER,616 SOUTHCENTER MALL,,SEATTLE,WA,98188,USA
158,WEST TOWN MALL,SPACE 1094A,7600 KINGSTON PIKE,KNOXVILLE,TN,37919,USA
160,7021 S MEMORIAL DRIVE,SUITE #215,,TULSA,OK,74133,USA
162,FLATIRON CROSSING,ONE WEST FLATIRON CROSSING DR,SUITE 1008,BROOMFIELD,CO,80021,USA
164,SPACE #800,2016 ROSEDALE CENTER,,ROSEVILLE,MN,55113,USA
166,510 SMITH HAVEN MALL,,,LAKE GROVE,NY,11755,USA
168,2206 E WILLIAMS FIELD RD,SUITE 114,,GILBERT,AZ,85295,USA
170,1015 W UNIVERSITY AVE,SUITE 400,,GEORGETOWN,TX,78628,USA
172,PARK MEADOWS CENTER,8505 PARK MEADOWS CENTER DRIVE,SPACE #2069,LITTLETON,CO,80124,USA
176,CAMBRIDGESIDE,100 CAMBRIDGESIDE PLACE,SPACE E114,CAMBRIDGE,MA,2141,USA
178,RIVERSIDE,2077 GALLERIA AT TYLER,,RIVERSIDE,CA,92503,USA
180,CHARLOTTESVILLE,1600 RIO RD E,,CHARLOTTESVILLE,VA,22901,USA
182,MONTCLAIR,2061 MONTCLAIR PLAZA LANE,,MONTCLAIR,CA,91763,USA
184,17410 HALL ROAD,SUITE 167,,CLINTON TOWNSHIP,MI,48038,USA
186,6600 TOPANGA CANYON BLVD,,,CANOGA PARK,CA,91303,USA
188,2018 INDEPENDENCE CENTRE DRIVE,,,INDEPENDENCE,MO,64057,USA
190,1701 SUNRISE HIGHWAY,SPACE #M20,,BAYSHORE,NY,11706,USA
192,WASHINGTON SQUARE,9329 SW WASHINGTON SQUARE ROAD,SPACE T07,PORTLAND,OR,97223,USA
194,ALDERWOOD MALL,SPACE 302/304,3000 184TH STREET,LYNNWOOD,WA,98037,USA
196,UNION STREET,2083 UNION STREET,,SAN FRANCISCO,CA,94123,USA
198,148 BELLEVUE SQUARE,,,BELLEVUE,WA,98004,USA
200,2676 NE UNIVERSITY VILLAGE ST,,,SEATTLE,WA,98105,USA
202,WALNUT CREEK,1149 BROADWAY PLAZA,SPACE C-70,WALNUT CREEK,CA,94596,USA
204,415 PINE ST,,,SEATTLE,WA,98101,USA
206,208 VINTAGE OAKS K-3,,,NOVATO,CA,94945,USA
208,OXMOOR CENTER,STORE #D6,7900 SHELBYVILLE ROAD,LOUISVILLE,KY,40222,USA
210,101 JORDAN CREEK PARKWAY,SUITE #11240,,WEST DES MOINES,IA,50266,USA
212,#212,6501 NORTH GRAPE ROAD,STORE #472A,MISHAWAKA,IN,46545,USA
214,55 PARSONAGE ROAD,SUITE 1215A,,EDISON,NJ,8837,USA
216,NORTHLAKE MALL,6601 NORTHLAKE MALL DR,SPACE 240,CHARLOTTE,NC,28216,USA
218,ORLAND SQUARE,730 SQUARE DRIVE,SPACE #G08B-1,ORLAND PARK,IL,60462,USA
220,20530 NORTH RAND ROAD,SUITE #244,,DEER PARK,IL,60010,USA
222,17101 DAVENPORT STREET,SUITE #103,,OMAHA,NE,68118,USA
224,WATTERS CREEK AT MONTGOMERY,FARM,919 GARDEN PARK DRIVE,ALLEN,TX,75013,USA
226,1755 29TH STREET,#1086,,BOULDER,CO,80301,USA
228,720 MARKET STREET,,,LYNNFIELD,MA,1940,USA
230,WESTFIELD FRANKLIN PARK,SUITE 1610,5001 MONROE STREET,TOLEDO,OH,43623,USA
232,2015 BIRCH ROAD,SUITE 605,,CHULA VISTA,CA,91915,USA
234,CHESTERFIELD MALL,2008 CHESTERFIELD MALL,,CHESTERFIELD,MO,63017,USA
236,2825 SOUTH GLENSTONE AVENUE,SPACE #G07B,,SPRINGFIELD,MO,65804,USA
238,310 DANIEL WEBSTER HWY,SPACE #W245,,NASHUA,NH,3060,USA
240,12669 WAYZATA BLVD,,,MINNETONKA,MN,55305,USA
242,MALL OF AMERICA,SPACE NUMBER W200,,BLOOMINGTON,MN,55425,USA
244,NORTHBRIDGE,520 N MICHIGAN AVE,SUITE 129,CHICAGO,IL,60611,USA
246,POLARIS FASHION PLACE,1500 POLARIS PARKWAY,,COLUMBUS,OH,43240,USA
248,34 OLD ORCHARD SHOPPING CENTER,,,SKOKIE,IL,60077,USA
250,#5 WOODFIELD SHOPPING CENTER,STORE E 329,,SCHAUMBURG,IL,60173,USA
252,1314 NORTHBROOK CT,,,NORTHBROOK,IL,60062,USA
254,104 OAKBROOK CENTER,,,OAK BROOK,IL,60523,USA
256,MAYFAIR,2500 NORTH MAYFAIR ROAD,SPACE NUMBER :120 AND 121,WAUWATOSA,WI,53226,USA
258,KENWOOD,7875 MONTGOMERY ROAD,SPACE NUMBER :2133,CINCINNATI,OH,45236,USA
260,1530 E. BUENA VISTA DRIVE,SPACE #B17-101,,LAKE BUENA VISTA,FL,32830,USA
262,1325 BOYLSTON STREET,SPACE #125,,BOSTON,MA,2215,USA
264,27484 NOVI RD,E#117,,NOVI,MI,48377,USA
266,2800 W BIG BEAVER RD,#S 218,,TROY,MI,48084,USA
268,8702 KEYSTONE CROSSING,SUITE 35B,,INDIANAPOLIS,IN,46240,USA
270,131 COLONIE CENTER,SPACE 130,,ALBANY,NY,12205,USA
272,4421 GLENGARRY DRIVE,,,DAYTON,OH,45440,USA
274,ROSS PARK MALL,1000 ROSS PARK DRIVE,SPACE #C07A,PITTSBURGH,PA,15237,USA
276,210 ANDOVER ST,SPACE #X107,,PEABODY,MA,1960,USA
278,75 WEST ROUTE 59,,,CLARKSTOWN,NY,10954,USA
280,26300 CEDAR RD #1110,,,BEACHWOOD,OH,44122,USA
282,WEST COUNTY MALL,37 WEST COUNTY CENTER,SPACE A2,DES PERES,MO,63131,USA
284,FAYETTE MALL,3401 NICHOLASVILLE ROAD,SUITE #C326,LEXINGTON,KY,40503,USA
286,6401 BLUEBONNET BLVD,SUITE 620,,BATON ROUGE,LA,70836,USA
288,CHANDLER FASHION CENTER,3111 W CHANDLER BLVD,SPACE #1144,CHANDLER,AZ,85226,USA
290,90-15 QUEENS BLVD,SPACE #2037,,ELMHURST,NY,11373,USA
292,876 BRIARWOOD CIRCLE,SPACE #E136,,ANN ARBOR,MI,48108,USA
294,CHESTNUT STREET,1714 CHESTNUT STREET,,PHILADELPHIA,PA,19103,USA
296,2500 MORELAND ROAD,SUITE 1103,,WILLOW GROVE,PA,19090,USA
298,75 GREENWICH AVENUE,,,GREENWICH,CT,6830,USA
300,AVENUE AT EAST COBB,4475 ROSWELL RD,SUITE #310,MARIETTA,GA,30062,USA
302,557 BROADWAY,,,NEW YORK,NY,10012,USA
304,1500 BROADWAY,#304,,NEW YORK,NY,10036,USA
306,701 SOUTH MIAMI AVENUE,SUITE 231B,,MIAMI,FL,33131,USA
308,119 FIFTH AVENUE,,,NEW YORK,NY,10003,USA
310,112 WEST 34TH STREET,,,NEW YORK,NY,10001,USA
312,2103 BROADWAY,ANSONIA BLDG,,NEW YORK,NY,10024,USA
314,ROOSEVELT FIELD SHOPPING CTR,630 OLD COUNTRY RD,MEADOWBROOK #1155,GARDEN CITY,NY,11530,USA
316,160 WALT WHITMAN AVE,SUITE 1047A,,HUNGTINGTON STATION,NY,11746,USA
318,STORE #C103,1200 MORRIS TURNPIKE,,SHORT HILLS,NJ,70782700,USA
320,ROUTES 4 & 17,SPACE #E2,,PARAMUS,NJ,7652,USA
322,1760 WILLOWBROOK MALL,,,WAYNE,NJ,74706905,USA
324,451 EAST ALTAMONTE DR,SUITE 2223,,ALTAMONTE SPRINGS,FL,32701,USA
326,THE WESTCHESTER,125 WESTCHESTER AVENUE,SUITE 1001,WHITE PLAINS,NY,10601,USA
328,STATEN ISLAND MALL,2655 RICHMOND AVENUE,SPACE #1548,STATEN ISLAND,NY,10314,USA
330,307 WEST FARMS MALL,STORE D114,,FARMINGTON,CT,6032,USA
332,1950 NORTHERN BLVD,,,MANHASSET,NY,11030,USA
334,75 MIDDLESEX TURNPIKE,STORE #1061,,BURLINGTON,MA,1803,USA
336,605 NORTH MICHIGAN AVENUE,,,CHICAGO,IL,60611,USA
338,ROCKINGHAM PARK,99 ROCKINGHAM PARK BLVD,SPACE E211C,SALEM,NH,3079,USA
340,FAIR OAKS MALL,11820-L FAIR OAKS,,FAIRFAX,VA,22033,USA
342,1420 PARHAM RD,SUITE S-129,,RICHMOND,VA,23229,USA
344,300 MONTICELLO AVE,STORE #209,,NORFOLK,VA,23510,USA
346,3065 M STREET,,GEORGETOWN,WASHINGTON,DC,20007,USA
348,PENTAGON CITY #348,1100 SOUTH HAYES STREET,SUITE #F06A,ARLINGTON,VA,22202,USA
350,199 BOYLSTON ST,SPACE #5203-5205,,CHESTNUT HILL,MA,2467,USA
352,7966 TYSONS CORNER CENTER,SPACE #D7U,,TYSONS CORNER,VA,22102,USA
354,SPACE C128,3710 US ROUTE 9,,FREEHOLD,NJ,77284801,USA
356,800 BOYLSTON STREET,SPACE B123,,BOSTON,MA,2199,USA
358,7101 DEMOCRACY BLVD,SPACE 2518,,BETHESDA,MD,20817,USA
360,11700 ROCK ROSE AVE,SUITE 130,,AUSTIN,TX,78758,USA
362,4400 SHARON RD,,,CHARLOTTE,NC,28211,USA
364,7014 EAST CAMELBACK ROAD,SPACE #1049,,SCOTTSDALE,AZ,85251,USA
366,400 COMMONS WAY,SUITE #141,,BRIDGEWATER,NJ,8807,USA
368,10 COLUMBUS CIRCLE,SPACE #201,,NEW YORK,NY,10019,USA
370,71-30 AUSTIN STREET,SEPHORA FOREST HILLS,,FOREST HILLS,NY,11375,USA
372,7 BACKUS AVENUE SPACE #D-205,,,DANBURY,CT,6810,USA
374,580 5TH AVE,,,NEW YORK,NY,10036,USA
376,PLAZA AT KING OF PRUSSIA,SPACE # 2108,160 NORTH GULPH ROAD,KING OF PRUSSIA,PA,19406,USA
378,PROVIDENCE PLACE,1 PROVIDENCE PL SPACE 168,,PROVIDENCE,RI,2903,USA
380,5526 WALNUT STREET,SHADYSIDE,,PITTSBURGH,PA,15232,USA
382,TWO EMBARCADERO CENTER,UNIT R-2109,,SAN FRANCISCO,CA,94111,USA
384,6910 FAYETTEVILLE ROAD,SUITE 181,,DURHAM,NC,27713,USA
386,WATERTOWER PLACE,845 N MICHIGAN AVE,,CHICAGO,IL,60611,USA
388,NATICK MALL,1245 WORCESTER ST,,NATICK,MA,1760,USA
390,CHERRY HILL MALL,SPACE 1100 AND 1105,2000 ROUTE 38,CHERRY HILL,NJ,8002,USA
392,PALISADES CENTER,1000 PALISADES CENTER DRIVE,SPACE NUMBER :F106A,WEST NYACK,NY,10994,USA
394,42ND AND MADISON,300 MADISON AVENUE,"42ND STREET STORE, SPACE 01-01",NEW YORK,NY,10017,USA
396,#396,WALDEN GALLERIA DRIVE,SPACE #G104,BUFFALO,NY,14225,USA
398,UNION SQUARE,45 E 17TH STREET,,NEW YORK,NY,10003,USA
400,721 COLLINS AVE,,,MIAMI BEACH,FL,331396215,USA
402,2982 GRAND AVE,,,COCONUT GROVE,FL,33133,USA
404,4056 WESTHEIMER ROAD,SPACE #4056,,HOUSTON,TX,77027,USA
406,3101 PGA BLVD,SPACE# P215,,PALM BEACH GARDENS,FL,33410,USA
408,6000 W GLADES,SUITE 1024B,,BOCA RATON,FL,33431,USA
410,19575 BISCAYNE BLVD,#669,,AVENTURA,FL,33180,USA
412,8001 S ORANGE BLOSSOM TRAIL,#1128B,,ORLANDO,FL,32809,USA
414,DADELAND RELO,7407 N KENDALL DRIVE,SUITE 2105,MIAMI,FL,33156,USA
416,ST JOHNS TOWER CENTER,10281 MIDTOWNE PKWY,SPACE #D7,JACKSONVILLE,FL,32246,USA
418,1750 DEPTFORD CENTER ROAD,SPACE #1184,,DEPTFORD,NJ,8096,USA
420,835 LEHIGH LIFESTYLE CENTER,SPACE #1240,,WHITEHALL,PA,18052,USA
422,MALL OF GEORGIA,3333 BUFORD DRIVE,SPACE #1046B,BUFORD,GA,30519,USA
424,550 S. ROSEMARY AVE,SUITE 144,,WEST PALM BEACH,FL,33401,USA
426,301 SOUTH HILLS VILLAGE,SPACE 1405A,,PITTSBURGH,PA,15241,USA
428,912 BRANDON TOWN CENTER MALL,,,BRANDON,FL,33511,USA
430,1140 CUMBERLAND MALL,,,ATLANTA,GA,30339,USA
432,CARRIAGE CROSSING,SUITE 109,4630 MERCHANTS PARK CIRCLE,COLLIERVILLE,TN,38017,USA
434,COCONUT POINT,23161 FASHION DRIVE,SUITE 113,ESTERO,FL,33928,USA
436,142 HILLSIDE RD.,,,CRANSTON,RI,2920,USA
438,1090 COURT ST,SUITE 205,,SAN LUIS OBISPO,CA,93401,USA
440,VILLAGE ARCADE,2401 TIMES BLVD,SUITE 150,HOUSTON,TX,77005,USA
442,7979 PITTSFORD-VICTOR ROAD,SPACE #156,,VICTOR,NY,14564,USA
444,2916 TOWNE CENTRE BLVD,,,LANSING,MI,48912,USA
446,PENN SQUARE MALL,1901 NW EXPRESSWAY,SPACE #2032A,OKLAHOMA CITY,OK,73118,USA
448,THE SHOPS AT PEMBROKE GARDENS,516 SW 145TH TERRACE,,PEMBROKE PINES,FL,33027,USA
450,NORTH POINT,1000 NORTH POINT CIRCLE,SPACE NUMBER :1034,ALPHARETTA,GA,30022,USA
452,2760 N. GERMANTOWN PARKWAY,UNIT 2460,,MEMPHIS,TN,38133,USA
454,INTERNATIONAL PLAZA,2223 WEST SHORE BLVD,SPACE 145,TAMPA,FL,33607,USA
456,THE GALLERIA AT FT LAUDERDALE,SPACE # 2204,"2414 E, SUNRISE BLVD",FORT LAUDERDALE,FL,33304,USA
458,SPACE 2080,THE MALL IN COLUMBIA,10300 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,USA
460,3393 PEACHTREE RD NE,SUITE 3042,,ATLANTA,GA,30326,USA
462,43550 CHRISTY STREET,SUITE #R1A,,FREMONT,CA,94538,USA
464,4400 ASHFORD DUNWOODY RD,SPACE 1585,,ATLANTA,GA,30346,USA
466,AUGUSTA,3450 WRIGHTSBORO ROAD,SUITE #2520,AUGUSTA,GA,30909,USA
468,VIRGINIA BEACH,701 LYNNHAVEN PARK,SUITE #1068,VIRGINIA BEACH,VA,23452,USA
470,CLACKAMAS TOWNE MALL,12000 SE 82ND AVE,SUITE #1070,HAPPY VALLEY,OR,97086,USA
472,FIRST COLONY,16535 SOUTHWEST FREEWAY,SUITE #3012,SUGAR LAND,TX,77479,USA
474,ALBUQUERQUE,6600 MENAUL BLVD. NE,SPACE M1,ALBUQUERQUE,NM,87110,USA
476,3301 VETERANS MEMORIAL BLVD,SUITE #74,,METAIRIE,LA,700028447,USA
478,110 ALBANY TURNPIKE,SUITE #607,,CANTON,CT,6019,USA
480,4500 N ORACLE ROAD,BOX 295,,TUCSON,AZ,85705,USA
482,8758 NW PRAIRIE VIEW ROAD,,,KANSAS CITY,MO,64153,USA
484,3401 DALE RD,SUITE #658,,MODESTO,CA,95356,USA
486,5725 JOHNSON ST,SPACE B130,,LAFAYETTE,LA,70503,USA
488,6000 MARKHAM STREET,SPACE #3130,,LITTLE ROCK,AR,72205,USA
490,3200 LAS VEGAS BLVD SOUTH,SUITE #1350,,LAS VEGAS,NV,89109,USA
492,2720 COUNCIL TREE AVE,SUITE #124,,FORT COLLINS,CO,80525,USA
494,40772 WINCHESTER RD #770,,,TEMECULA,CA,92591,USA
496,800 N GREEN RIVER RD,SPACE #136,,EVANSVILLE,IN,47715,USA
498,1 TOWNE CENTRE BLVD,UNIT #2800,,FREDERICKSBURG,VA,22407,USA
600,200 W 42ND ST,,,NEW YORK,NY,10036,USA
602,3000 E FIRST AVE,UNIT #236,,DENVER,CO,80206,USA
604,132 W. JEFFERSON AVE,,,NAPERVILLE,IL,60540,USA
610,400 BARRETT PKWY,SUITE #236,,KENNESAW,GA,30144,USA
612,1251 US HIGHWAY 31 N,,,GREENWOOD,IN,46142,USA
614,CALABASAS,4799 COMONS WAY,SPACE #H1,CALABASAS,CA,91302,USA
616,6689 NEWBERRY ROAD,,,GAINESVILLE,FL,32605,USA
618,#618,6191 S STATE STREET,UNIT # 212,MURRAY,UT,84107,USA
620,JACKSON,1000 HIGHLAND COLONY PARKWAY,SUITE #9010,RIDGELAND,MS,39157,USA
622,5330-E WESTERN AVE,,,CHEVY CHASE,MD,20815,USA
624,11900 MARKET STREET,,,RESTON,VA,20190,USA
626,364 MAINE MALL ROAD,SPACE # W115,,SOUTH PORTLAND,ME,4106,USA
628,3265 W MARKET STREET,,,FAIRLAWN,OH,44333,USA
632,3251 20TH AVE,SPACE #262,,SAN FRANCISCO,CA,94132,USA
634,6707 SPRINGFIELD MALL,SUITE #22055,,SPRINGFIELD,VA,22150,USA
636,6121 W PARK BLVD,SPACE C110,,PLANO,TX,75093,USA
638,1151 GALLERIA BLVD,SUITE #1140,,ROSEVILLE,CA,95678,USA
640,250 GRANITE STREET,SPACE # 1230,,BRAINTREE,MA,2184,USA
642,8401 GATEWAY BLVD WEST,SPACE E11B,,EL PASO,TX,79925,USA
644,CHRISTIANA,118 CHRISTIANA MALL,,NEWARK,DE,19702,USA
646,24201 WEST VALENCIA BLVD,SUITE #3628,,VALENCIA,CA,91355,USA
648,3700 RIVERTOWN PARKWAY,SUITE # 1058,,GRANDVILLE,MI,49418,USA
650,PLAZA LAS AMERICA,525 AVE F.D. ROOSEVELT,SPACE #32,SAN JUAN,PR,918,USA
652,CHAMPAIGN,2000 NORTH NEIL STREET,SUITE #600,CHAMPAIGN,IL,61820,USA
654,2250 KALAKAUA AVENUE,SUITE 153,,HONOLULU,HI,96815,USA
656,4502 S STEELE STREET,SPACE #1317,,TACOMA,WA,98409,USA
658,808 COLUMBUS AVENUE,,,NEW YORK,NY,10025,USA
660,PACIFIC VIEW,3301-1242 E MAIN STREET,,VENTURA,CA,93003,USA
662,STATE STREET,108 NORTH STATE STREET,STORE 134,CHICAGO,IL,60602,USA
664,DESTINY USA SPACE #B205,9090 DESTINY USA,,SYRACUSE,NY,13290,USA
668,5065 MAIN STREET SPACE #2090,,,TRUMBULL,CT,6611,USA
670,4301 WEST WISCONSIN AVENUE,SPACE #514,,APPLETON,WI,54913,USA
672,AMERICANA,230 AMERICANA WAY,,GLENDALE,CA,91210,USA
674,PALM DESERT,73505 EL PASEO,SUITE 1620,PALM DESERT,CA,92260,USA
676,21-27 NINTH AVENUE,,,NEW YORK,NY,10014,USA
678,7965 CITRUS PARK TOWN CENTER,,,TAMPA,FL,33625,USA
680,163 MARKET STREET,,,YONKERS,NY,10710,USA
682,DEDHAM,512 LEGACY PLACE,,DEDHAM,MA,2026,USA
684,4236 LEGENDARY DRIVE,,,DESTIN,FL,32541,USA
686,CHATTANOOGA,2100 HAMILTON PLACE BLVD,SUITE 256,CHATTANOOGA,TN,37421,USA
688,GENEVA COMMONS,405 COMMONS DRIVE,,GENEVA,IL,60134,USA
690,CRESTVIEW HILLS,2854 TOWN CENTER BLVD,,CRESTVIEW HILLS,KY,41017,USA
692,2000 N ROCK ROAD,SUITE # 118,,WICHITA,KS,67206,USA
694,SPACE #C120,1 MOHEGAN SUN BLVD,,UNCASVILLE,CT,6382,USA
696,650 NORTH AVENUE,SPACE #S104,,ATLANTA,GA,30308,USA
698,7407 N KENDALL DREET,,,MIAMI,FL,33156,USA
700,531 CHELSEA ROAD,,,PERRYMAN,MD,21130,USA
702,SEPHORA,12712 2ND ST,,GRANDVIEW,MO,64030,USA
708,2115 FESTIVAL PLAZA DRIVE,SUITE 130,,LAS VEGAS,NV,89135,USA
710,140 UNIVERSITY TOWN CENTER DR,SUITE #279,,SARASOTA,FL,34243,USA
712,11800 WEST BROAD STREET,SUITE #1416,,RICHMOND,VA,23233,USA
720,312 GRAND AVE WEST,,,SOUTHLAKE,TX,76092,USA
722,3811 SOUTH COOPER ST,SPACE # 1102,,ARLINGTON,TX,76015,USA
724,335 THE BRIDGE STREET,SUITE 117,,HUNTSVILLE,AL,35806,USA
726,1455 NW 107TH AVE,UNIT # 292B,,MIAMI,FL,33172,USA
728,2435 KA'ANAPALI PKWY,SPACE #D4,,"LAHAINA, MAUI",HI,96761,USA
730,SPACE 118,9301 TAMPA AVENUE,,NORTHRIDGE,CA,91324,USA
732,3500 LAS VEGAS BLVD,S SUITE N13,,LAS VEGAS,NV,89109,USA
734,413 SW MORRISON STREET,,,PORTLAND,OR,97204,USA
736,15169 N SCOTTSDALE RD.,SUITE #110,,SCOTTSDALE,AZ,85254,USA
738,6000 SEPULVEDA BLVD.,SUITE #1341,,CULVER CITY,CA,90230,USA
740,3896 CROSS CREEK ROAD,,,MALIBU,CA,90265,USA
742,50 SOUTH MAIN STREET,SPACE #123,,SALT LAKE CITY,UT,84101,USA
744,2001 SOUTH ROAD,SPACE A208,,POUGHKEEPSIE,NY,12601,USA
746,1645 BRIARGATE PARKWAY,SUITE 207,,COLORADO SPRINGS,CO,80920,USA
